Number of Jumps,Est_X_Local,Est_Y_Local,Est_Z_Local,Est_Roll_Local,Est_Pitch_Local,Est_Yaw_Local,Est_X_World,Est_Y_World,Est_Z_World,Est_Roll_World,Est_Pitch_World,Est_Yaw_World,Tag_Est_X,Tag_Est_Y,Tag_Est_Z,Tag_Est_Roll,Tag_Est_Pitch,Tag_Est_Yaw,Error_World,Error_Local
1,-0.00400355780047135,0.004164255966921821,50.0195102906674,3.1415103685515064,-7.912291343672748e-05,-1.5481604161296973e-07,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,50.0,[1. 0. 0.],[ 0. -1.  0.],[ 0.  0. -1.],0.0,0.01951062423226091,0.02034750463192327
1,29.53431536253123,-0.00020894251932412019,120.32538654259038,-3.1415926236542546,-0.004302726346324503,-7.474085361582925e-09,-30.046260698196683,-0.005516400185583167,-70.18006176679084,-8.231567620668383e-05,0.004223603418925814,-5.015227620236574e-07,30.0,0.0,120.0,[1. 0. 0.],[ 0. -1.  0.],[ 0.  0. -1.],0.183732301355505,0.20386279639870963,0.02034750463192327
1,-24.98121583377963,-14.988606519390427,84.93483038995647,3.1415900677109083,-5.119488145449913e-06,-7.514744959821772e-07,24.983488826310065,14.986016387260088,-34.91466548309137,-7.969921498244847e-05,-7.40033654156305e-05,5.96250435137821e-07,-25.0,-15.0,85.0,[1. 0. 0.],[ 0. -1.  0.],[ 0.  0. -1.],0.07921886312410464,0.06877202442674957,0.02034750463192327
1,-0.00400355780047135,0.004164255966921821,50.0195102906674,3.1415103685515064,-7.912291343672748e-05,-1.5481604161296973e-07,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,50.0,[1. 0. 0.],[ 0. -1.  0.],[ 0.  0. -1.],0.0,0.01951062423226091,0.02034750463192327
1,29.53431536253123,-0.00020894251932412019,120.32538654259038,-3.1415926236542546,-0.004302726346324503,-7.474085361582925e-09,-30.046260698196683,-0.005516400185583167,-70.18006176679084,-8.231567620668383e-05,0.004223603418925814,-5.015227620236574e-07,30.0,0.0,120.0,[1. 0. 0.],[ 0. -1.  0.],[ 0.  0. -1.],0.183732301355505,0.20386279639870963,0.02034750463192327
1,-24.98121583377963,-14.988606519390427,84.93483038995647,3.1415900677109083,-5.119488145449913e-06,-7.514744959821772e-07,24.983488826310065,14.986016387260088,-34.91466548309137,-7.969921498244847e-05,-7.40033654156305e-05,5.96250435137821e-07,-25.0,-15.0,85.0,[1. 0. 0.],[ 0. -1.  0.],[ 0.  0. -1.],0.07921886312410464,0.06877202442674957,0.02034750463192327
1,-0.00400355780047135,0.004164255966921821,50.0195102906674,3.1415103685515064,-7.912291343672748e-05,-1.5481604161296973e-07,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,50.0,[1. 0. 0.],[ 0. -1.  0.],[ 0.  0. -1.],0.0,0.01951062423226091,0.02034750463192327
1,29.53431536253123,-0.00020894251932412019,120.32538654259038,-3.1415926236542546,-0.004302726346324503,-7.474085361582925e-09,-30.046260698196683,-0.005516400185583167,-70.18006176679084,-8.231567620668383e-05,0.004223603418925814,-5.015227620236574e-07,30.0,0.0,120.0,[1. 0. 0.],[ 0. -1.  0.],[ 0.  0. -1.],0.183732301355505,0.20386279639870963,0.02034750463192327
1,-24.98121583377963,-14.988606519390427,84.93483038995647,3.1415900677109083,-5.119488145449913e-06,-7.514744959821772e-07,24.983488826310065,14.986016387260088,-34.91466548309137,-7.969921498244847e-05,-7.40033654156305e-05,5.96250435137821e-07,-25.0,-15.0,85.0,[1. 0. 0.],[ 0. -1.  0.],[ 0.  0. -1.],0.07921886312410464,0.06877202442674957,0.02034750463192327
1,-0.00400355780047135,0.004164255966921821,50.0195102906674,3.1415103685515064,-7.912291343672748e-05,-1.5481604161296973e-07,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,50.0,[1. 0. 0.],[ 0. -1.  0.],[ 0.  0. -1.],0.0,0.01951062423226091,0.02034750463192327
1,29.53431536253123,-0.00020894251932412019,120.32538654259038,-3.1415926236542546,-0.004302726346324503,-7.474085361582925e-09,-30.046260698196683,-0.005516400185583167,-70.18006176679084,-8.231567620668383e-05,0.004223603418925814,-5.015227620236574e-07,30.0,0.0,120.0,[1. 0. 0.],[ 0. -1.  0.],[ 0.  0. -1.],0.183732301355505,0.20386279639870963,0.02034750463192327
1,-24.98121583377963,-14.988606519390427,84.93483038995647,3.1415900677109083,-5.119488145449913e-06,-7.514744959821772e-07,24.983488826310065,14.986016387260088,-34.91466548309137,-7.969921498244847e-05,-7.40033654156305e-05,5.96250435137821e-07,-25.0,-15.0,85.0,[1. 0. 0.],[ 0. -1.  0.],[ 0.  0. -1.],0.07921886312410464,0.06877202442674957,0.02034750463192327
1,-0.00400355780047135,0.004164255966921821,50.0195102906674,3.1415103685515064,-7.912291343672748e-05,-1.5481604161296973e-07,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,50.0,[1. 0. 0.],[ 0. -1.  0.],[ 0.  0. -1.],0.0,0.01951062423226091,0.02034750463192327
1,29.53431536253123,-0.00020894251932412019,120.32538654259038,-3.1415926236542546,-0.004302726346324503,-7.474085361582925e-09,-30.046260698196683,-0.005516400185583167,-70.18006176679084,-8.231567620668383e-05,0.004223603418925814,-5.015227620236574e-07,30.0,0.0,120.0,[1. 0. 0.],[ 0. -1.  0.],[ 0.  0. -1.],0.183732301355505,0.20386279639870963,0.02034750463192327
1,-24.98121583377963,-14.988606519390427,84.93483038995647,3.1415900677109083,-5.119488145449913e-06,-7.514744959821772e-07,24.983488826310065,14.986016387260088,-34.91466548309137,-7.969921498244847e-05,-7.40033654156305e-05,5.96250435137821e-07,-25.0,-15.0,85.0,[1. 0. 0.],[ 0. -1.  0.],[ 0.  0. -1.],0.07921886312410464,0.06877202442674957,0.02034750463192327
1,-0.00400355780047135,0.004164255966921821,50.0195102906674,3.1415103685515064,-7.912291343672748e-05,-1.5481604161296973e-07,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,50.0,[1. 0. 0.],[ 0. -1.  0.],[ 0.  0. -1.],0.0,0.01951062423226091,0.02034750463192327
1,29.53431536253123,-0.00020894251932412019,120.32538654259038,-3.1415926236542546,-0.004302726346324503,-7.474085361582925e-09,-30.046260698196683,-0.005516400185583167,-70.18006176679084,-8.231567620668383e-05,0.004223603418925814,-5.015227620236574e-07,30.0,0.0,120.0,[1. 0. 0.],[ 0. -1.  0.],[ 0.  0. -1.],0.183732301355505,0.20386279639870963,0.02034750463192327
1,-24.98121583377963,-14.988606519390427,84.93483038995647,3.1415900677109083,-5.119488145449913e-06,-7.514744959821772e-07,24.983488826310065,14.986016387260088,-34.91466548309137,-7.969921498244847e-05,-7.40033654156305e-05,5.96250435137821e-07,-25.0,-15.0,85.0,[1. 0. 0.],[ 0. -1.  0.],[ 0.  0. -1.],0.07921886312410464,0.06877202442674957,0.02034750463192327
1,-0.00400355780047135,0.004164255966921821,50.0195102906674,3.1415103685515064,-7.912291343672748e-05,-1.5481604161296973e-07,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,50.0,[1. 0. 0.],[ 0. -1.  0.],[ 0.  0. -1.],0.0,0.01951062423226091,0.02034750463192327
